# wl (nm), spectrum (a.u.), gdd (fs^2),phase
1.121093339710646698e-06, 1.408550079858265358e-01, -1.410302211285113353e-27, -6.406451196533689085e+01
1.119837916037958470e-06, 1.693644403065180937e-01, -8.834184923904457995e-28, -6.681348651654516857e+01
1.118585300919347760e-06, 2.021533493364044143e-01, -4.749296609983446048e-28, -6.958732957704080491e+01
1.117335484940666988e-06, 2.378658156542699242e-01, 5.316692208355148800e-28, -7.242877930756283433e+01
1.116088458729795595e-06, 2.767854207051652082e-01, -3.702091722229044970e-28, -7.523508081929168156e+01
1.114844212956406899e-06, 3.198102141035064627e-01, -5.038994992088385577e-28, -7.804208777695963306e+01
1.113602738331733676e-06, 3.643593211206746507e-01, 2.712418966268401007e-28, -8.085179361063009651e+01
1.112364025608339041e-06, 4.101256184582493525e-01, -2.194082472406363982e-28, -8.367609672846161573e+01
1.111128065579885419e-06, 4.577350448922259396e-01, -2.649557378154829925e-28, -8.649896671206471410e+01
1.109894849080906690e-06, 5.054668324336447638e-01, -2.185729749151741271e-29, -8.930779072042004429e+01
1.108664366986582034e-06, 5.511305617317203698e-01, -2.357394691520299116e-28, -9.213666349815586898e+01
1.107436610212510409e-06, 5.959827699764113085e-01, -7.064109313557302729e-29, -9.493927202778969843e+01
1.106211569714487780e-06, 6.395332791303859343e-01, -9.336585306793616134e-29, -9.773847989371820688e+01
1.104989236488283926e-06, 6.797195650249384657e-01, -1.556598303893282657e-28, -1.005732167989357464e+02
1.103769601569422635e-06, 7.153431718064183764e-01, -7.207374352123728542e-29, -1.033775397431086418e+02
1.102552656032962323e-06, 7.483647999272805551e-01, -2.542896226105473949e-28, -1.061920030088133586e+02
1.101338390993278556e-06, 7.773637968371073237e-01, -2.377607739852079553e-28, -1.090211800674442202e+02
1.100126797603847002e-06, 8.009711232591523178e-01, 6.726374961940289991e-29, -1.118341522177617122e+02
1.098917867057029552e-06, 8.201560237391520847e-01, -2.435108126357230499e-28, -1.146479361158094861e+02
1.097711590583860444e-06, 8.364206724412882599e-01, -1.993362742335845848e-29, -1.174737098760487299e+02
1.096507959453834295e-06, 8.473006187628649988e-01, -2.337636874088103097e-28, -1.202828736999382215e+02
1.095306964974695401e-06, 8.533927195967472290e-01, -2.484267805134674406e-28, -1.230940974819733924e+02
1.094108598492228519e-06, 8.575583191827469420e-01, 3.096662339362992519e-29, -1.259137420233103910e+02
1.092912851390051131e-06, 8.579996531398609294e-01, -2.772709270088202471e-28, -1.287508829759446769e+02
1.091719715089406984e-06, 8.546174612917840641e-01, -5.732188605993910701e-29, -1.315603598346524734e+02
1.090529181048960680e-06, 8.487618664884367670e-01, -1.692896674980659086e-28, -1.343860119183622999e+02
1.089341240764593544e-06, 8.416749532688506674e-01, -3.441262997176973809e-28, -1.372136188212080867e+02
1.088155885769202239e-06, 8.313180283353202027e-01, 8.788072421313270296e-29, -1.400400508767439476e+02
1.086973107632496541e-06, 8.182241667885161718e-01, -3.325690125885235535e-28, -1.428522847178843165e+02
1.085792897960800071e-06, 8.044079134692153632e-01, -4.459126197177865466e-29, -1.456814754497929698e+02
1.084615248396851242e-06, 7.889169483179826470e-01, -5.408880109348091797e-29, -1.484962802587942861e+02
1.083440150619606540e-06, 7.706639999144422326e-01, -4.015669957581300131e-28, -1.513218043799994348e+02
1.082267596344044220e-06, 7.521239438166467117e-01, -5.890482917454556150e-29, -1.541634120581142611e+02
1.081097577320969700e-06, 7.332156648053328452e-01, -2.539284465883641226e-28, -1.569711991641744362e+02
1.079930085336821805e-06, 7.133368773646650007e-01, -1.042299572737526149e-29, -1.598165587067729803e+02
1.078765112213481123e-06, 6.925855667379358094e-01, -2.650153946411758244e-28, -1.626368828873563643e+02
1.077602649808078579e-06, 6.728858601711907861e-01, -2.497086314855113041e-28, -1.654643197418672003e+02
1.076442690012806119e-06, 6.538230914307118224e-01, -1.270945068102640905e-28, -1.682959339599546809e+02
1.075285224754727825e-06, 6.339979759814191596e-01, 3.641920207823149483e-29, -1.711253240137556588e+02
1.074130245995592718e-06, 6.157649486097431790e-01, -6.075739461908525414e-28, -1.739375239681374978e+02
1.072977745731649050e-06, 5.981532879559006144e-01, 3.270242952990658775e-28, -1.767776129213551997e+02
1.071827715993458586e-06, 5.803546824479540733e-01, -5.748465261315957362e-28, -1.796093143687124893e+02
1.070680148845714074e-06, 5.630493448750044649e-01, -9.525587724088682165e-29, -1.824416565874034575e+02
1.069535036387055437e-06, 5.471001044584070661e-01, 1.883232639216191292e-29, -1.852837535041977048e+02
