# wl (nm), spectrum (a.u.), gdd (fs^2)
1.020423733695813231e-06, 1.249901621589829676e-01, -8.958766863495716794e-26
1.019383546403564572e-06, 9.124121176073388129e-02, -1.673269786024817871e-25
1.018345477619039591e-06, 6.537660050141308465e-02, -1.393214580991282439e-25
1.017309520876802557e-06, 4.654996826421562567e-02, -5.561915223707985611e-26
1.016275669737700109e-06, 3.234756776003774870e-02, -1.596062809726284447e-25
1.015243917788727645e-06, 2.287542354517047016e-02, -2.407477252241447078e-26
1.014214258642897386e-06, 1.638831957343484316e-02, -6.571224191467628551e-26
1.013186685939105403e-06, 1.211526748226264029e-02, -7.072108700340499082e-26
1.012161193342000953e-06, 9.632770974983054929e-03, 4.252240982406934262e-26
1.011137774541857312e-06, 8.329584999874661486e-03, -8.681748467262356932e-26
1.010116423254441328e-06, 7.534175328562846795e-03, -1.340008828211615546e-26
1.009097133220884890e-06, 7.153213759681322469e-03, 5.049995297845641240e-26
1.008079898207557442e-06, 7.247431460040630949e-03, 4.587065087043435270e-27
1.007064712005938508e-06, 7.289007246929071933e-03, -2.143669055118264519e-26
1.006051568432491909e-06, 7.142428496967942637e-03, -2.664150412946313604e-27
1.005040461328539553e-06, 7.058066614932993407e-03, 1.637136191472282336e-26
1.004031384560137345e-06, 7.078987218375491428e-03, -1.490688748131528858e-26
1.003024332017950675e-06, 6.919434403633998969e-03, 7.068031680592083631e-27
1.002019297617131172e-06, 7.065667623949198166e-03, -1.368249056643936612e-27
1.001016275297194096e-06, 7.232052027362901106e-03, -2.132452396108382755e-26
1.000015259021896792e-06, 7.306387696895211802e-03, 3.541899263653261632e-26
9.990162427791177741e-07, 6.998686355605868159e-03, -9.976786382915211777e-27
9.980192205807355977e-07, 7.137188052826123723e-03, -1.404690784745021244e-26
9.970241864625094314e-07, 7.213101725134743458e-03, 2.353497001417778901e-27
9.960311344839611055e-07, 7.119607984459954547e-03, 1.713062761201554340e-26
9.950400587282556813e-07, 6.977953176155130693e-03, -1.235143320930589522e-26
9.940509533020843481e-07, 7.193206064056258293e-03, -6.083889396126473042e-27
9.930638123355481686e-07, 7.339205919501874502e-03, 2.551605137427734995e-26
9.920786299820405527e-07, 7.173633631400978816e-03, -2.658475391227689226e-26
9.910954004181337548e-07, 7.103820755785719872e-03, 8.194834420653400769e-27
9.901141178434621958e-07, 7.217441761792310444e-03, 1.603501903814935466e-26
9.891347764806102306e-07, 7.256685490250388594e-03, -2.833425800498930516e-26
9.881573705749969518e-07, 7.099005270548581180e-03, 3.082900423664118567e-26
9.871818943947648048e-07, 6.852986329922328319e-03, -3.726584072266719392e-26
9.862083422306675680e-07, 6.899005780306778982e-03, 3.515823986032191391e-26
9.852367083959574852e-07, 7.338151803489212019e-03, 4.363684598251982053e-27
9.842669872262764221e-07, 7.258603323155986969e-03, -1.568955242243449664e-26
9.832991730795446935e-07, 6.906041925898729131e-03, -1.419732831130063195e-26
9.823332603358515837e-07, 7.295164317252738652e-03, -5.960405045117994409e-27
9.813692433973473503e-07, 6.855924366153621531e-03, 3.328318251665870261e-26
9.804071166881341683e-07, 7.163949608509257057e-03, -3.521421595475712704e-26
9.794468746541596162e-07, 6.989301594359995096e-03, 2.862194837381455812e-26
9.784885117631084671e-07, 7.049843905338331294e-03, -9.109839447330448279e-27
9.775320225042980803e-07, 7.186829865806179836e-03, 2.850888683903839243e-26
9.765774013885712517e-07, 7.135442139653899209e-03, -3.089475096850884141e-26
9.756246429481920287e-07, 6.983626199377554120e-03, 3.570708929514470802e-27
9.746737417367415250e-07, 7.231137001695613596e-03, 3.023251567406887546e-27
9.737246923290135240e-07, 7.201791184370589897e-03, -2.918705781410250359e-26
9.727774893209113524e-07, 7.344406223951153133e-03, 3.397223607953703007e-26
9.718321273293458129e-07, 7.271957997184796442e-03, -4.201457949902527575e-26
9.708886009921329048e-07, 7.215873589037196008e-03, 8.511065329778985468e-26
9.699469049678921799e-07, 6.949577618990154457e-03, -8.299455775175504120e-26
9.690070339359467931e-07, 7.301187869777738329e-03, 4.518258414509950293e-26
9.680689825962216464e-07, 7.225617667731191671e-03, -3.198417026920737553e-26
9.671327456691459798e-07, 7.100211525251474629e-03, 1.806455419349020094e-26
9.661983178955525751e-07, 6.944540554141989154e-03, -5.670395921945138073e-27
9.652656940365801345e-07, 7.256822598192139498e-03, 4.607114158002145459e-27
9.643348688735746022e-07, 7.144299800576647298e-03, 6.374501344101552300e-27
9.634058372079932370e-07, 7.395396161172221663e-03, 7.122270656388698064e-27
9.624785938613059336e-07, 7.005035888369755964e-03, 7.881552022477017053e-28
9.615531336749007782e-07, 7.244458304125069373e-03, -1.243237615657444011e-26
9.606294515099874867e-07, 7.072234446633113465e-03, -3.595942846722991266e-27
9.597075422475016901e-07, 6.987228124452323288e-03, -1.330714146214512786e-26
9.587874007880123959e-07, 6.885119310246857159e-03, 9.678291311022700770e-27
9.578690220516252151e-07, 7.209861806279726712e-03, -1.617829995224960104e-28
9.569524009778917291e-07, 7.109681146682311770e-03, 5.911496507269765325e-27
9.560375325257139871e-07, 7.296394866721071966e-03, -1.510135525710789243e-26
9.551244116732540850e-07, 6.994835442741495837e-03, -2.186096550718214730e-27
9.542130334178405687e-07, 7.228910160110207928e-03, 2.762432629860199299e-26
9.533033927758788602e-07, 7.162497127480131794e-03, 1.659961078110819920e-26
9.523954847827590364e-07, 7.085532979475315379e-03, -1.599746673110008483e-26
9.514893044927658328e-07, 7.008563388601087712e-03, -1.826746469940364136e-26
9.505848469789894925e-07, 7.280878624241600428e-03, 1.170600134517651758e-27
