# wl (nm), spectrum (a.u.), gdd (fs^2),phase
1.046041065922486232e-06, 5.731008326852976564e-01, 1.045586088444546329e-27, 2.658810261445149195e+02
1.044948024056318455e-06, 6.096045999195552900e-01, -2.260540726471679351e-28, 2.684583612220511668e+02
1.043857264114715002e-06, 6.512856118014133111e-01, -6.572041758481634330e-28, 2.710155849698139718e+02
1.042768778959225241e-06, 6.969914725992001348e-01, -1.688918691176325087e-27, 2.735800421245187977e+02
1.041682561481142739e-06, 7.468153586723520476e-01, -1.871997054057484911e-27, 2.761360285742696874e+02
1.040598604601349617e-06, 7.982038365721016993e-01, -2.298558684697248635e-27, 2.786840254482892192e+02
1.039516901270163238e-06, 8.501456113883567589e-01, -2.348008433262141449e-27, 2.812264533521155272e+02
1.038437444467182682e-06, 8.994611181526791510e-01, -2.596732105822509019e-27, 2.837573986224868463e+02
1.037360227201137975e-06, 9.429488574782730614e-01, -2.384055570120234192e-27, 2.862885629995156478e+02
1.036285242509737621e-06, 9.763592113986986343e-01, -2.419241390520004745e-27, 2.888045199250411770e+02
1.035212483459520586e-06, 9.956036095084214166e-01, -2.476926382590309238e-27, 2.912990695638995930e+02
1.034141943145705101e-06, 9.984939716568753676e-01, -2.249301295301492583e-27, 2.937926378924541950e+02
1.033073614692042123e-06, 9.813586419820902185e-01, -2.418996726281978497e-27, 2.962919950289542612e+02
1.032007491250667534e-06, 9.444973418503729290e-01, -2.292795510066363014e-27, 2.987631829295955299e+02
1.030943566001955386e-06, 8.878992614867559086e-01, -2.268865101980268977e-27, 3.012473865463549600e+02
1.029881832154373696e-06, 8.153786955028997641e-01, -2.468807715145179674e-27, 3.037021503481772129e+02
1.028822282944338335e-06, 7.295872594787942145e-01, -1.874006610874482075e-27, 3.061636739555050895e+02
1.027764911636070935e-06, 6.372998165428274131e-01, -2.539181380274253363e-27, 3.086046920101597948e+02
1.026709711521454894e-06, 5.424315844308383872e-01, -2.039519884274491030e-27, 3.110470339132718323e+02
1.025656675919894347e-06, 4.505648859416961916e-01, -2.131742366642037993e-27, 3.134791219261445576e+02
1.024605798178173134e-06, 3.647396590689195861e-01, -1.892862473754120841e-27, 3.158928424389482075e+02
1.023557071670314191e-06, 2.887810137558240453e-01, -1.836283438035624047e-27, 3.183321073892547588e+02
1.022510489797440640e-06, 2.234860231127573094e-01, -2.225603914769001481e-27, 3.207349606925192234e+02
1.021466045987637294e-06, 1.694680952083412739e-01, -1.325723062834560828e-27, 3.231583491351921680e+02
1.020423733695813231e-06, 1.259556988216198881e-01, -3.103491229648159300e-27, 3.255931672499797855e+02
1.019383546403564572e-06, 9.169593627989010287e-02, -5.972332210240423120e-28, 3.278563591682370770e+02
1.018345477619039591e-06, 6.576077583061852583e-02, -1.794758192067271732e-27, 3.302855076140346569e+02
1.017309520876802557e-06, 4.603830571799261140e-02, -1.065611004962807797e-27, 3.326102555405892076e+02
1.016275669737700109e-06, 3.251409909169284546e-02, -2.422468503923273701e-27, 3.350146413787915662e+02
1.015243917788727645e-06, 2.239353181710689381e-02, -4.743495955588598536e-26, 3.379702109543179631e+02
1.014214258642897386e-06, 1.581111119084499875e-02, -8.600402134000237583e-26, 3.395750838262002844e+02
