# wl (nm), spectrum (a.u.), gdd (fs^2),phase
1.048234024131967253e-06, 5.144846162001480705e-01, -1.195576801702880220e-28, 2.187847254231004399e+02
1.047136396881567322e-06, 5.414140380740275482e-01, -2.334635932344274756e-28, 2.209620325652207953e+02
1.046041065922486232e-06, 5.731513967592325454e-01, 1.054394484571352031e-28, 2.231235495402840456e+02
1.044948024056318455e-06, 6.098129100037111838e-01, -4.486130230444911587e-28, 2.252667033922606379e+02
1.043857264114715002e-06, 6.512343831555647000e-01, -1.406436036187477025e-28, 2.274384929295551956e+02
1.042768778959225241e-06, 6.965646050796387989e-01, 7.957503469354594547e-29, 2.295984530240290269e+02
1.041682561481142739e-06, 7.462204003164710775e-01, -5.709295180909506388e-28, 2.317561682369111509e+02
1.040598604601349617e-06, 7.979444951146849041e-01, 2.104571428923219057e-28, 2.339054162246778503e+02
1.039516901270163238e-06, 8.496649541036330744e-01, -3.591507108655305269e-28, 2.360612260757728507e+02
1.038437444467182682e-06, 8.991002348561787372e-01, 5.245009303472714150e-30, 2.382207773488642317e+02
1.037360227201137975e-06, 9.424618508171707099e-01, -5.771416772947335690e-28, 2.403693727885794544e+02
1.036285242509737621e-06, 9.759422856916130096e-01, 1.064689432590497694e-28, 2.425381757878924134e+02
1.035212483459520586e-06, 9.954175805371123786e-01, -3.600839615324167750e-28, 2.446844306680568764e+02
1.034141943145705101e-06, 9.986263527075173174e-01, -1.259200423292527909e-28, 2.468393898385417629e+02
1.033073614692042123e-06, 9.814869186775676546e-01, -1.969555086028095764e-28, 2.489867322745450053e+02
1.032007491250667534e-06, 9.446103476540341770e-01, -7.602503091282124156e-29, 2.511519344732560626e+02
1.030943566001955386e-06, 8.880651648775447216e-01, -3.242144464842904534e-28, 2.533004624897214114e+02
1.029881832154373696e-06, 8.153198335342932701e-01, -2.659938298395186892e-28, 2.554566159926136777e+02
1.028822282944338335e-06, 7.299177078758496418e-01, 1.642683370889223300e-30, 2.575966757053177503e+02
1.027764911636070935e-06, 6.376376939391747989e-01, -1.361025338457226942e-28, 2.597404123629682999e+02
1.026709711521454894e-06, 5.426422861739167436e-01, -1.214556719130306755e-28, 2.618975941169572366e+02
1.025656675919894347e-06, 4.507081219066695343e-01, -1.708691957869574799e-28, 2.640228531433476746e+02
1.024605798178173134e-06, 3.652141160008392506e-01, -2.424822593512460716e-29, 2.661915478939185959e+02
1.023557071670314191e-06, 2.891741921018470274e-01, -2.452676970267993860e-28, 2.683591518319210536e+02
1.022510489797440640e-06, 2.240093927301952392e-01, -3.437763744760208753e-28, 2.704709020631729004e+02
1.021466045987637294e-06, 1.697858044263064192e-01, -2.144650816977745769e-30, 2.726163995138195446e+02
1.020423733695813231e-06, 1.260489200374228791e-01, 3.132324311101589325e-28, 2.747582059529185017e+02
1.019383546403564572e-06, 9.221383625011747576e-02, -8.030386884272509631e-28, 2.769101557042100126e+02
1.018345477619039591e-06, 6.638582230442384435e-02, 1.645803386532365089e-27, 2.790959220270936498e+02
1.017309520876802557e-06, 4.724597499504518822e-02, -3.344316191603880790e-27, 2.812993086230699760e+02
1.016275669737700109e-06, 3.328041899011364296e-02, 3.291957713186448607e-27, 2.834724190273071827e+02
1.015243917788727645e-06, 2.318566032990379902e-02, -3.244688571845274475e-26, 2.855265206234304287e+02
1.014214258642897386e-06, 1.637501436813662906e-02, -1.064319034218687458e-25, 2.877346249589488707e+02
1.013186685939105403e-06, 1.168247636242407926e-02, -1.739478592871584958e-25, 2.887940585538905225e+02
1.012161193342000953e-06, 9.005892135285444022e-03, -1.355660861197345490e-25, 2.917743839625142073e+02
1.011137774541857312e-06, 7.521770098888108311e-03, -9.081663754798396574e-26, 2.892235676455305224e+02
1.010116423254441328e-06, 6.692708037922906472e-03, -2.675376491773742821e-26, 2.885608627661799233e+02
1.009097133220884890e-06, 6.491118412571164446e-03, -3.039214718292497946e-26, 2.860783896715043397e+02
1.008079898207557442e-06, 6.147962739367694544e-03, 8.597452550635551758e-27, 2.881114140151577203e+02
1.007064712005938508e-06, 5.987297094164206746e-03, -2.397961505549793822e-26, 2.905870051440160751e+02
1.006051568432491909e-06, 6.012401248804608543e-03, -6.016702602028212204e-27, 2.924683228510026538e+02
1.005040461328539553e-06, 5.975610982132131821e-03, -3.215165414335184533e-26, 2.931905360723685590e+02
1.004031384560137345e-06, 5.966275607672964949e-03, 1.486224925198725382e-26, 2.962512491615042336e+02
