# wl (nm), spectrum (a.u.), gdd (fs^2),phase
1.091719715089406984e-06, 8.550555600526887901e-01, -1.080869993354047440e-28, 6.723882573355747638e+01
1.090529181048960680e-06, 8.489167783046183136e-01, 1.880948407163536717e-28, 7.003919953462636272e+01
1.089341240764593544e-06, 8.417588235675443897e-01, -5.884280559843500911e-28, 7.284383905614333798e+01
1.088155885769202239e-06, 8.314982944315043589e-01, 5.560791595724149096e-28, 7.562524200744091729e+01
1.086973107632496541e-06, 8.187310882703517922e-01, -6.712347904916014586e-29, 7.842579610959678860e+01
1.085792897960800071e-06, 8.040487257346665695e-01, 3.490449219445371844e-29, 8.122415366383738444e+01
1.084615248396851242e-06, 7.890719627542578385e-01, -1.928116778801897399e-28, 8.401090708821833175e+01
1.083440150619606540e-06, 7.708228547848310352e-01, -1.111466617161656478e-28, 8.681139135158771580e+01
1.082267596344044220e-06, 7.518745474254862060e-01, 1.832359735935800567e-28, 8.960317148811296306e+01
1.081097577320969700e-06, 7.329426018357845241e-01, -1.049532057099653473e-28, 9.240153768352264763e+01
1.079930085336821805e-06, 7.129940900074823729e-01, 1.037956208830439390e-28, 9.518382634681456977e+01
1.078765112213481123e-06, 6.927526022632128910e-01, -3.073409929440972108e-28, 9.799187594745951913e+01
1.077602649808078579e-06, 6.729226437417540341e-01, 8.476518311936526670e-29, 1.007796154013791181e+02
1.076442690012806119e-06, 6.537398135720209336e-01, 1.194280773746631056e-28, 1.035803406583662820e+02
1.075285224754727825e-06, 6.342835444025284319e-01, 3.012674601404900220e-29, 1.063642763088503926e+02
1.074130245995592718e-06, 6.157990749091603044e-01, -1.974730508540229109e-28, 1.091694477143891220e+02
1.072977745731649050e-06, 5.977367963084930791e-01, -1.403170932632881788e-28, 1.119528698620938059e+02
1.071827715993458586e-06, 5.798208287939911054e-01, 2.573763560039363555e-28, 1.147413049603625552e+02
1.070680148845714074e-06, 5.633386380042609831e-01, -2.680358083789405214e-28, 1.175497303000951490e+02
1.069535036387055437e-06, 5.469292789004995825e-01, 2.206398880612389197e-28, 1.203194626127076106e+02
1.068392370749889777e-06, 5.308380265026902967e-01, -5.826625154603163582e-29, 1.231223406366175794e+02
1.067252144100210112e-06, 5.156582455871274728e-01, -3.593375981607871719e-28, 1.259141717988398170e+02
1.066114348637416650e-06, 5.023384051652114435e-01, 3.629611835122561180e-28, 1.287075550963024853e+02
1.064978976594139339e-06, 4.885286727278821961e-01, -4.011057034666597795e-28, 1.315044265157533232e+02
1.063846020236060408e-06, 4.764637853834576831e-01, 6.917534328867822985e-28, 1.342913784350055266e+02
1.062715471861739463e-06, 4.655562581212271400e-01, -4.376949369663467036e-28, 1.370602238101106138e+02
1.061587323802438141e-06, 4.565819136149886770e-01, -4.348431380206667912e-28, 1.398701500914376084e+02
1.060461568421947959e-06, 4.488898487325068132e-01, 4.605543572396005814e-28, 1.426669041133096982e+02
1.059338198116416244e-06, 4.427661791311029993e-01, -2.275326478152388023e-28, 1.454488780715725511e+02
1.058217205314176731e-06, 4.387888073849286474e-01, 1.383215669449737720e-28, 1.482596037708613039e+02
1.057098582475578243e-06, 4.358729493307332281e-01, 8.081510755316418076e-29, 1.510409818554711592e+02
1.055982322092816139e-06, 4.360384719929720210e-01, -5.522160854805610503e-28, 1.538615712012125982e+02
1.054868416689764598e-06, 4.384086418306941679e-01, 1.800698724810260154e-28, 1.566187964830164674e+02
1.053756858821809118e-06, 4.429148755668205206e-01, 4.505734390426847343e-28, 1.594305695843223418e+02
1.052647641075680923e-06, 4.497141361843621787e-01, -4.376989628590707689e-28, 1.622269848624717952e+02
1.051540756069292213e-06, 4.610343511934390515e-01, -2.259491916950645897e-28, 1.650005237640121436e+02
1.050436196451572263e-06, 4.747947608698302457e-01, 2.330472107212092257e-28, 1.678037618769153596e+02
1.049333954902305219e-06, 4.931548686548889449e-01, 2.158909171041195125e-28, 1.705839696311614091e+02
1.048234024131967253e-06, 5.159683237866730110e-01, -3.465127512234020242e-28, 1.733926842336580876e+02
1.047136396881567322e-06, 5.425696532943149464e-01, 5.135919231032692166e-29, 1.761767182744493425e+02
1.046041065922486232e-06, 5.748104418350746814e-01, -2.724077733524387193e-28, 1.789682598479169258e+02
1.044948024056318455e-06, 6.107023709946358681e-01, 3.960844205796325713e-29, 1.817602146050327576e+02
1.043857264114715002e-06, 6.519212746342676335e-01, 6.534453379409571236e-28, 1.845497476840914999e+02
1.042768778959225241e-06, 6.982333182835348540e-01, -4.181190676919371503e-28, 1.873492383653100433e+02
1.041682561481142739e-06, 7.472420255532983280e-01, -5.377450463188005093e-28, 1.901233350625327034e+02
1.040598604601349617e-06, 7.986995833940698786e-01, 5.808448097725193471e-28, 1.929360265145690221e+02
1.039516901270163238e-06, 8.504425302257785368e-01, -1.460009392775749665e-28, 1.957179287911467611e+02
1.038437444467182682e-06, 8.995689251122563901e-01, -2.833785446534614402e-28, 1.985049506789690952e+02
1.037360227201137975e-06, 9.427200841812108933e-01, 1.335985942082850972e-28, 2.013020742663291571e+02
1.036285242509737621e-06, 9.757459693201975259e-01, -9.570795983848501894e-29, 2.040868045833506415e+02
1.035212483459520586e-06, 9.952917864154688932e-01, -2.841809706463834981e-29, 2.068747974125873270e+02
1.034141943145705101e-06, 9.988151485644782834e-01, -9.043737045227136981e-29, 2.096774255228755806e+02
1.033073614692042123e-06, 9.819317683340915703e-01, -1.457754120009296827e-28, 2.124585841570153946e+02
1.032007491250667534e-06, 9.445996882922736981e-01, 5.067539474719500640e-29, 2.152443494087820284e+02
1.030943566001955386e-06, 8.879171785206861900e-01, 6.795400251264215775e-29, 2.180308136348411381e+02
1.029881832154373696e-06, 8.155474708236813974e-01, -1.659686341916812928e-28, 2.208245251325301695e+02
1.028822282944338335e-06, 7.295112441204119058e-01, -1.366918770093786992e-28, 2.236181776674086166e+02
1.027764911636070935e-06, 6.372104685329275098e-01, 5.244464547320152774e-29, 2.264149778676518281e+02
1.026709711521454894e-06, 5.426315501584881851e-01, 2.212498757344827740e-29, 2.291943918910521063e+02
1.025656675919894347e-06, 4.509998671397611458e-01, -2.197816734456439198e-28, 2.319824267362629939e+02
1.024605798178173134e-06, 3.654981351771888765e-01, 5.746236837419345405e-28, 2.347576956998558444e+02
1.023557071670314191e-06, 2.890465822187462397e-01, -1.321329971004767486e-27, 2.375518362278475593e+02
1.022510489797440640e-06, 2.242438113855986515e-01, 6.109815022116105824e-28, 2.403493035338598816e+02
