# wl (nm), spectrum (a.u.), gdd (fs^2),phase
1.106211569714487780e-06, 6.397572116500299666e-01, 3.962890535125001098e-28, -3.024652983700513005e+02
1.104989236488283926e-06, 6.798298170117529349e-01, 1.597038330285381951e-28, -3.047887910964539628e+02
1.103769601569422635e-06, 7.151309308650179997e-01, 2.754198910002965670e-29, -3.071355363608470839e+02
1.102552656032962323e-06, 7.485246724672116603e-01, 1.771268726949210929e-28, -3.094680696095377357e+02
1.101338390993278556e-06, 7.775416034396686049e-01, -9.685592825363987655e-29, -3.117949722264306729e+02
1.100126797603847002e-06, 8.007739344036726159e-01, 1.730191097288427732e-28, -3.141291355307048434e+02
1.098917867057029552e-06, 8.203836700445712449e-01, -4.982503417527508799e-29, -3.164562422624852047e+02
1.097711590583860444e-06, 8.364223847664504774e-01, -2.135460447131027539e-28, -3.188010304803899544e+02
1.096507959453834295e-06, 8.470992472144819319e-01, 2.165148340384930225e-28, -3.211386516653718672e+02
1.095306964974695401e-06, 8.531763708781390232e-01, -4.636990325945807689e-28, -3.234703237680836310e+02
1.094108598492228519e-06, 8.572907687808430932e-01, -4.628586907564066558e-29, -3.258098071605582504e+02
1.092912851390051131e-06, 8.578024378272390837e-01, -3.923587640331356119e-29, -3.281437478676818955e+02
1.091719715089406984e-06, 8.541635739914791303e-01, -2.433163249907543169e-28, -3.304764756479394237e+02
1.090529181048960680e-06, 8.483295847078319296e-01, -1.931567610764437179e-28, -3.328114440352038059e+02
1.089341240764593544e-06, 8.409444904740130955e-01, -2.194089885764973222e-28, -3.351600127589830436e+02
1.088155885769202239e-06, 8.308533014028306463e-01, -1.680208890263766166e-28, -3.374938150066838602e+02
1.086973107632496541e-06, 8.177163598906173059e-01, -2.059361548181457102e-28, -3.398268037840575175e+02
1.085792897960800071e-06, 8.036800818779576971e-01, -2.365217499793497298e-28, -3.421753026989293858e+02
1.084615248396851242e-06, 7.882295771587335409e-01, -2.282003662262543737e-28, -3.445148497336290347e+02
1.083440150619606540e-06, 7.701755028141381576e-01, -3.470625280306719368e-28, -3.468560092679366562e+02
1.082267596344044220e-06, 7.516411688286521731e-01, -2.788823338559755056e-29, -3.491900382807954202e+02
1.081097577320969700e-06, 7.323910698983185918e-01, -3.552798205691953266e-28, -3.515472510520900755e+02
1.079930085336821805e-06, 7.126618949560189487e-01, -4.304898817183978170e-28, -3.538876184418765547e+02
1.078765112213481123e-06, 6.918140422586422922e-01, -1.529718561409689711e-28, -3.562287861840978280e+02
1.077602649808078579e-06, 6.723645180151823775e-01, -2.903267161842965839e-28, -3.585708947703770377e+02
1.076442690012806119e-06, 6.529378329720958440e-01, -3.242713371337527231e-28, -3.609071600628203669e+02
1.075285224754727825e-06, 6.332995946405939325e-01, -2.486635052847344940e-28, -3.632746771534568779e+02
1.074130245995592718e-06, 6.150559116745525357e-01, -1.530433624202017866e-28, -3.656296666350747842e+02
1.072977745731649050e-06, 5.973785813128775768e-01, -5.490200501864829771e-28, -3.679694015611706845e+02
1.071827715993458586e-06, 5.798519810567239752e-01, -1.088254659235392332e-28, -3.703204082339626666e+02
1.070680148845714074e-06, 5.624550972512620817e-01, -4.206156226608513899e-28, -3.726560536797524605e+02
1.069535036387055437e-06, 5.463616140859772763e-01, -1.439384961094568891e-28, -3.750301466825735588e+02
1.068392370749889777e-06, 5.304986588431719330e-01, -1.850347626742428230e-28, -3.774032903131545709e+02
1.067252144100210112e-06, 5.153351396698164777e-01, -4.240548905986590279e-28, -3.797394332168630058e+02
1.066114348637416650e-06, 5.012044320421028543e-01, -2.971628136982663773e-28, -3.821026180935114667e+02
1.064978976594139339e-06, 4.885329061135712525e-01, -2.161547389394782095e-28, -3.844455025514031377e+02
