# wl (nm), spectrum (a.u.), gdd (fs^2),phase
1.107436610212510409e-06, 5.979450673950856832e-01, -1.560791659352576754e-28, -1.326802047895782088e+01
1.106211569714487780e-06, 6.413194672332352964e-01, -3.561358380092912886e-29, -1.087560821363152463e+01
1.104989236488283926e-06, 6.815247040214998941e-01, 1.299535525823089868e-28, -8.476040645596349066e+00
1.103769601569422635e-06, 7.171697168249043797e-01, -5.433088538483570700e-29, -6.083795688427425574e+00
1.102552656032962323e-06, 7.504305935259064642e-01, -2.845834567150977581e-29, -3.679562924512785660e+00
1.101338390993278556e-06, 7.797200526006347054e-01, -7.794492715834833278e-29, -1.289651821949121091e+00
1.100126797603847002e-06, 8.026885066374123134e-01, 1.221565292756667601e-28, 1.107721643702430647e+00
1.098917867057029552e-06, 8.223009645360642716e-01, -6.223381794369260279e-29, 3.511950627118453294e+00
1.097711590583860444e-06, 8.386327133077697837e-01, -9.076382598794640349e-29, 5.899845896924497346e+00
1.096507959453834295e-06, 8.493287690293772618e-01, -5.792142538035660136e-29, 8.302403166442712035e+00
1.095306964974695401e-06, 8.550063595124138827e-01, 3.948331987877951614e-28, 1.070086352413266084e+01
1.094108598492228519e-06, 8.595175027148358460e-01, -5.208730495598657755e-28, 1.310023282293510327e+01
1.092912851390051131e-06, 8.599580427445041586e-01, 2.817022288236944089e-28, 1.549539784453667579e+01
1.091719715089406984e-06, 8.559645723199228451e-01, 3.654281020371542493e-29, 1.790700284910443685e+01
1.090529181048960680e-06, 8.502064935793461897e-01, -2.544318765778487219e-28, 2.029422549579792090e+01
1.089341240764593544e-06, 8.429087976247849889e-01, 1.110477317694141435e-28, 2.268663932759775648e+01
1.088155885769202239e-06, 8.323965579611580790e-01, -1.360558115174834499e-28, 2.508898108234483715e+01
1.086973107632496541e-06, 8.193130715816315801e-01, 1.339335853822475363e-28, 2.748443736166133533e+01
1.085792897960800071e-06, 8.052508861152214426e-01, -8.307163177694423114e-29, 2.988498039360132097e+01
1.084615248396851242e-06, 7.898919392288156205e-01, 8.054278154573581018e-30, 3.227189156241001200e+01
1.083440150619606540e-06, 7.718181694586421226e-01, -6.933791497127293431e-29, 3.468569521760285568e+01
1.082267596344044220e-06, 7.529644888528818081e-01, 5.356437025336697027e-29, 3.706945425159197072e+01
1.081097577320969700e-06, 7.339960814037553849e-01, -1.399356693803196870e-28, 3.947822765012455193e+01
1.079930085336821805e-06, 7.138217923448273439e-01, 1.905596154908365524e-28, 4.185390507816580197e+01
1.078765112213481123e-06, 6.929163855527019633e-01, -3.342698892997078160e-28, 4.425611092273480551e+01
1.077602649808078579e-06, 6.738374373631419445e-01, 1.984454618037839681e-28, 4.665694154651962577e+01
1.076442690012806119e-06, 6.544036392296962434e-01, -1.804538618591120995e-29, 4.905083640085573649e+01
1.075285224754727825e-06, 6.347069152247393209e-01, -1.117065767673526470e-28, 5.145696145029727830e+01
1.074130245995592718e-06, 6.161140339578589087e-01, 1.395005369722418451e-28, 5.385650467655352713e+01
1.072977745731649050e-06, 5.983292259855509387e-01, -1.738887638546575173e-28, 5.622898984255175492e+01
1.071827715993458586e-06, 5.807421814662003801e-01, 3.381318521783937681e-29, 5.864354942364703049e+01
1.070680148845714074e-06, 5.635594000277451832e-01, -1.056149846886585107e-29, 6.103739306847219126e+01
1.069535036387055437e-06, 5.470718140667126805e-01, 7.950464924669661002e-29, 6.344225617027539954e+01
1.068392370749889777e-06, 5.313943980584086013e-01, -3.215270566296839003e-28, 6.581821734943810043e+01
1.067252144100210112e-06, 5.161016894865348981e-01, 1.616723678101624665e-28, 6.821175644721084552e+01
1.066114348637416650e-06, 5.021304192748727857e-01, 4.021139713166148799e-29, 7.061736003779708426e+01
1.064978976594139339e-06, 4.892233272063443161e-01, -8.977414879525955513e-29, 7.301846364846539927e+01
1.063846020236060408e-06, 4.768093772737692082e-01, 4.906212241650990310e-29, 7.539967855836042077e+01
1.062715471861739463e-06, 4.660672900883999215e-01, -1.190962151460041220e-28, 7.782176147053544923e+01
1.061587323802438141e-06, 4.572331259265084435e-01, 5.339387645990451903e-30, 8.019282376609996277e+01
1.060461568421947959e-06, 4.493284290882185172e-01, -1.611266960946585470e-28, 8.260775640131687680e+01
1.059338198116416244e-06, 4.428345443353696176e-01, 7.267525433786271353e-29, 8.496781405075080329e+01
1.058217205314176731e-06, 4.393172393134402443e-01, -7.636715797849968619e-31, 8.738494496992335314e+01
1.057098582475578243e-06, 4.366343677989118488e-01, 3.830548685839319266e-29, 8.976363881287838353e+01
1.055982322092816139e-06, 4.363755041692808923e-01, -2.779257871638831029e-28, 9.217736654159406839e+01
1.054868416689764598e-06, 4.386434535002349255e-01, 3.614030616603009435e-28, 9.457124686793427770e+01
1.053756858821809118e-06, 4.432610515592089184e-01, -4.605305999565868770e-28, 9.697362227974565485e+01
1.052647641075680923e-06, 4.502397465123214593e-01, 4.675767501048623459e-28, 9.936971663573245905e+01
1.051540756069292213e-06, 4.613644760499471809e-01, -5.170616899170961552e-28, 1.017695550464360821e+02
1.050436196451572263e-06, 4.756695043188638450e-01, 2.731001635896204966e-28, 1.041672907564382058e+02
1.049333954902305219e-06, 4.938330966075750172e-01, -5.781683766730270401e-29, 1.065709065828887674e+02
1.048234024131967253e-06, 5.163868284441363032e-01, 2.072654482019878893e-28, 1.089411980640204263e+02
1.047136396881567322e-06, 5.432429903345656896e-01, -4.823459465873543980e-28, 1.113384384842320429e+02
1.046041065922486232e-06, 5.750884122768543660e-01, 1.562683449420482635e-28, 1.137345300744699728e+02
1.044948024056318455e-06, 6.114265588017250286e-01, 1.531864572493082265e-28, 1.161268197849375383e+02
1.043857264114715002e-06, 6.527951287055426821e-01, -1.866482478006040855e-28, 1.185170053735652971e+02
1.042768778959225241e-06, 6.985090363972317196e-01, -1.615404586697285708e-28, 1.209083093671246019e+02
1.041682561481142739e-06, 7.479957550982164749e-01, 1.079462406302183663e-28, 1.232999037460128449e+02
1.040598604601349617e-06, 7.990994730616974850e-01, -1.447446287783694514e-29, 1.257036126884704714e+02
1.039516901270163238e-06, 8.509680703106392574e-01, -1.502806511903211159e-28, 1.280989879938566389e+02
1.038437444467182682e-06, 9.001940928873978232e-01, 1.391973284435697617e-28, 1.304886785894169634e+02
1.037360227201137975e-06, 9.431554328717529634e-01, -2.601759885022599414e-28, 1.328880577886513379e+02
1.036285242509737621e-06, 9.766486963143293787e-01, 7.313098040352674942e-29, 1.352726007192145516e+02
1.035212483459520586e-06, 9.959222967624468126e-01, -6.593822941080395414e-29, 1.376716593169063003e+02
1.034141943145705101e-06, 9.986863864099493338e-01, -4.851874065903279500e-29, 1.400687266662105515e+02
1.033073614692042123e-06, 9.816573363334359925e-01, 1.980725018264250381e-29, 1.424678652595321751e+02
1.032007491250667534e-06, 9.445378359189000594e-01, -1.373485467933591419e-28, 1.448580138368713790e+02
1.030943566001955386e-06, 8.881056279131341880e-01, 9.088972345950637812e-29, 1.472411526493328040e+02
1.029881832154373696e-06, 8.151459502132596402e-01, -1.605212889098709028e-28, 1.496497199698334555e+02
1.028822282944338335e-06, 7.298296676031523766e-01, 5.525094054001708106e-30, 1.520254944874747878e+02
1.027764911636070935e-06, 6.372608083696271741e-01, -1.122899543649025352e-28, 1.544203289592371675e+02
1.026709711521454894e-06, 5.424266361330126740e-01, 5.827200457363940623e-29, 1.568154532351261139e+02
1.025656675919894347e-06, 4.505486272013762838e-01, 6.545722613051441139e-29, 1.592192638252195707e+02
1.024605798178173134e-06, 3.649252040847677514e-01, -1.574913081689725590e-28, 1.615904146217272910e+02
1.023557071670314191e-06, 2.889652644741639853e-01, -4.053426493053707958e-28, 1.639792013826864832e+02
1.022510489797440640e-06, 2.237157545908798062e-01, 6.708922663198530949e-28, 1.663548849266797731e+02
1.021466045987637294e-06, 1.694238951252644010e-01, -7.376768750357216462e-28, 1.687608536814763340e+02
1.020423733695813231e-06, 1.262523941843375630e-01, -1.613828824046764981e-27, 1.712017056270734656e+02
1.019383546403564572e-06, 9.242924828977699958e-02, 2.707341449575582832e-27, 1.735093037953058683e+02
