# wl (nm), spectrum (a.u.), gdd (fs^2)
1.050436196451572263e-06, 4.663850169701246884e-01, 7.998077009675457360e-28
1.049333954902305219e-06, 4.817509993656644007e-01, -1.226565773473394574e-27
1.048234024131967253e-06, 5.051240948991450042e-01, 1.093421293085400749e-27
1.047136396881567322e-06, 5.306887967528070016e-01, -3.433427554227086501e-28
1.046041065922486232e-06, 5.623413652022930531e-01, 5.502257621272209774e-28
1.044948024056318455e-06, 5.970619798134793044e-01, -1.148324319435004763e-27
1.043857264114715002e-06, 6.395458605993502577e-01, 1.138481469426623749e-27
1.042768778959225241e-06, 6.842013315363112413e-01, -3.446707778316849818e-28
1.041682561481142739e-06, 7.324247061450822605e-01, -2.271980271026764399e-28
1.040598604601349617e-06, 7.821892577128584101e-01, 7.440312590025376064e-29
1.039516901270163238e-06, 8.333803742074994414e-01, 2.288489216996629920e-28
1.038437444467182682e-06, 8.804028572447836209e-01, -1.464251531145427029e-28
1.037360227201137975e-06, 9.235184237496738557e-01, -3.958127042766425145e-28
1.036285242509737621e-06, 9.564984775882799939e-01, 6.487712277672323447e-28
1.035212483459520586e-06, 9.750706720309476605e-01, -8.693346912929966250e-28
1.034141943145705101e-06, 9.776543074620090978e-01, 8.477915297415123713e-28
1.033073614692042123e-06, 9.614676431744869634e-01, -4.719103882618659848e-28
1.032007491250667534e-06, 9.230905782824424533e-01, 2.435875750019557954e-29
1.030943566001955386e-06, 8.676571955690929316e-01, 3.193646464396738644e-28
1.029881832154373696e-06, 7.980727047577863553e-01, 2.540835913389653701e-28
1.028822282944338335e-06, 7.131357954911582420e-01, -5.894077724910101274e-28
1.027764911636070935e-06, 6.229248206248968467e-01, -3.909863559107724931e-28
1.026709711521454894e-06, 5.314008242031383888e-01, 1.510487860112958553e-27
1.025656675919894347e-06, 4.408438010516627092e-01, -8.570678132593748307e-28
1.024605798178173134e-06, 3.562033037877434527e-01, -4.831951745773226362e-28
1.023557071670314191e-06, 2.805981530140818636e-01, 4.746419449972677097e-28
